"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元) ▼","EPS增減(元)","單季ROE(%)","單季ROE增減","年估ROE(%)","單季ROA(%)","單季ROA增減","年估ROA(%)","財報評分"
"69",="8454","富邦媒","387","24Q2","267","-0.82","24.3","-4.34","7.68","-15.5","9.11","-0.33","2.88","-0.5","3.2","-0.58","7.81","-0.68","31.3","2.66","-0.56","10.7","53"
"190",="8446","華研","115.5","24Q2","4.01","+55.8","2.18","+6.83","1.68","+13.8","54.4","-24.9","42","-15.4","3.19","+0.39","9.71","+1.19","38.8","5.5","+0.94","22","87"
"67",="2731","雄獅","129","24Q2","74.2","+24.8","10.3","+1.7","2.94","-9.56","13.9","-3.15","3.97","-1.46","3.15","-0.34","7.44","-0.66","29.8","2.59","-0.6","10.4","57"
"110",="3570","大塚","143","24Q2","5.47","+18.6","1.49","+0.94","0.54","+2.78","27.2","-4.76","9.82","-1.51","3.14","+0.08","6.27","+0.27","25.1","4.1","-0.06","16.4","60"
"237",="2368","金像電","187","24Q2","95.7","+5.59","30.3","+24.3","15.2","+24.9","31.6","+4.76","15.9","+2.46","3.12","+0.62","8.71","+1.44","34.8","4.16","+0.58","16.6","64"
"143",="1519","華城","601","24Q2","46.5","+52.9","16.8","+61.4","8.94","+49.6","36.2","+1.89","19.1","-0.4","3.11","+0.82","15.8","+5.31","63.2","4.9","+1.24","19.6","64"
"294",="6556","勝品","91.3","24Q2","4.8","+0.19","1.83","+7.1","0.89","+2.68","38.2","+2.47","19.9","+2.49","3.09","+0.08","6.71","+0.65","26.8","4.25","+0.34","17","68"
"342",="8114","振樺電","209","24Q2","31.9","+43.9","14.2","+46.9","2.41","+118","44.4","+0.93","13.4","+5.15","3.05","+1.59","6.53","+3.72","26.1","2.72","+1.51","10.9","60"
"295",="6863","永道-KY","291.5","24Q2","11.7","+29.8","4.04","+25.6","2.26","+19.3","34.6","-1.17","19.3","-1.7","3.04","+0.5","4.01","+0.51","16","3.12","+0.27","12.5","66"
"178",="9939","宏全","156","24Q2","75","+15.7","17.5","+18.1","8.69","+15.8","23.3","+0.47","12.2","+0.18","3.02","+0.41","5.49","+0.75","22","2.25","+0.25","9.01","55"
"86",="5278","尚凡","255","24Q2","5","+10.7","2.82","+30.2","0.67","+824","56.3","+8.44","13.4","+11.8","3.01","+2.68","13","+11.5","51.8","3.13","+2.66","12.5","68"
"169",="2233","宇隆","156","24Q2","9.4","+8.59","3.57","+17.1","1.81","+21.1","38","+2.77","19.2","+1.85","3.01","+0.53","4.77","+0.73","19.1","3.19","+0.38","12.7","57"
"123",="4771","望隼","215","24Q2","7.3","-4.98","2.84","-8.41","1.73","-5.51","39","-1.46","26.4","+0.84","3","-0.42","5.54","-1.6","22.2","3.35","-0.58","13.4","73"
"134",="3680","家登","598","24Q2","17.6","+23.6","7.94","+27","2.83","+33.8","45.2","+1.21","16.9","+0.3","3","+0.76","3.13","+0.5","12.5","1.76","+0.32","7.04","64"
"52",="5483","中美晶","166","24Q2","199","+1.04","63.6","+2.64","16.5","-13.4","32","+0.5","17.8","-2.3","2.94","-0.46","3.64","-1.02","14.6","1.38","-0.32","5.52","64"
"175",="9921","巨大","190","24Q2","212","+31.8","46.9","+44.9","11.5","+122","22.2","+2.01","5.82","+2.2","2.94","+1.61","3.31","+1.73","13.2","1.49","+0.81","5.98","47"
"179",="6278","台表科","108.5","24Q2","115","+5.25","16","+23.7","8.59","+26.1","13.9","+2.07","7.47","+1.21","2.94","+0.61","4.17","+0.74","16.7","1.7","+0.31","6.8","47"
"84",="6903","巨漢","142.5","24Q2","9.38","+15.8","2.97","+11.2","1.82","-5.9","31.7","-1.31","19.4","-4.48","2.93","-0.26","6.79","-1.71","27.2","4.79","-1.52","19.2","74"
"153",="6279","胡連","176","24Q2","19.9","+5.49","6.67","+5.06","2.9","-12.4","33.4","-0.13","14.6","-2.91","2.91","-0.41","4.51","-0.72","18","2.35","-0.46","9.38","49"
"209",="3213","茂訊","94.3","24Q2","7.27","-4.03","2.46","-5.55","1.7","+8.98","33.8","-0.54","23.5","+2.38","2.9","+0.24","6.31","+0.38","25.2","4.48","+0.11","17.9","66"
"281",="8941","關中","68.6","24Q2","8.71","+33.7","2.61","+40.8","0.88","+565","29.9","+1.52","9.94","+8.34","2.89","+2.46","8.38","+7.33","33.5","4.22","+3.73","16.9","60"
"124",="2636","台驊控股","85.6","24Q2","68.4","+46.8","9.74","+17.6","3.89","+51.1","14.2","-3.53","6","-0.2","2.84","+0.96","4.3","+1.09","17.2","2.19","+0.49","8.75","45"
"214",="3679","新至陞","134.5","24Q2","9.79","+6.38","2.76","-5.7","1.78","-34.3","28.2","-3.61","18.2","-11.3","2.84","-1.49","3.81","-2.05","15.2","2.06","-1.1","8.23","57"
"196",="3583","辛耘","488","24Q2","23.7","+5.71","6.63","+8.56","2.27","+8.02","28","+0.74","9.55","+0.2","2.82","+0.21","5.25","+0.03","21","1.08","0","4.31","51"
"126",="4736","泰博","156.5","24Q2","11.6","+7.88","4.97","+18.3","2.68","-33.6","42.8","+3.78","24","-14.5","2.81","-1.43","3","-1.39","12","2.31","-1.18","9.24","70"
"1818",="1441","大東","15.95","24Q2","4.36","+92.7","-0.74","-1212","1.94","+719","-16.9","-19.8","44","+58.9","2.8","+3.29","38.6","+47.8","154","9.16","+10.9","36.6","51"
"611",="3491","昇達科","306.5","24Q2","6.48","+49.4","3.59","+83","1.78","+130","55.4","+10.2","30.2","+9.89","2.79","+1.56","7.84","+4.22","31.4","5.02","+2.5","20.1","85"
"213",="5283","禾聯碩","103","24Q2","19.1","+69.9","6.56","+106","2.01","+704","34.4","+5.97","10.5","+13.5","2.76","+3.22","5.08","+5.91","20.3","2.74","+3.23","10.9","53"
"206",="2745","五福","87.6","24Q2","20.3","+12.8","2.55","+6.81","0.93","-11.6","12.6","-0.7","4.58","-1.26","2.75","-0.36","12.3","-2.39","49.2","3.92","-1.59","15.7","49"
"152",="8433","弘帆","89","24Q2","9.81","+34.7","2.65","+42","1.46","+4.82","26.9","+1.39","14.9","-4.16","2.74","+0.13","6.11","+0.17","24.5","3.03","+0.04","12.1","60"
"102",="1256","鮮活果汁-KY","149.5","24Q2","12","+37.5","3.03","+42.8","0.92","+103","25.3","+0.95","7.71","+1.66","2.72","+1.38","2.4","+1.19","9.59","1.99","+0.92","7.95","57"
"198",="3483","力致","160.5","24Q2","21.8","+13.8","4.66","+32.5","2.26","+70.3","21.4","+3.02","10.4","+3.44","2.72","+1.11","5.39","+2.04","21.6","2.6","+1.06","10.4","55"
"366",="4571","鈞興-KY","157","24Q2","7.44","-3.38","2.26","-3.43","1.39","+20.3","30.4","-0.01","18.7","+3.69","2.69","+0.46","5.2","+0.82","20.8","3.76","+0.5","15","68"
